station_name,country,continent,latitude,longitude,altitude,provider
nevers_marzy,France,Europe,46.983,3.1,175.0,wrdc
nice,France,Europe,43.633,7.2,2.0,wrdc
nimes_courbessac,France,Europe,43.85,4.4,59.0,wrdc
niort,France,Europe,46.3,-0.4,57.0,wrdc
norrkoping,Sweden,Europe,58.583,16.15,43.0,wrdc
odiham,United Kingdom,Europe,51.233,-0.95,124.0,wrdc
orleans,France,Europe,47.983,1.767,125.0,wrdc
ostersund,Sweden,Europe,63.2,14.483,374.0,wrdc
oviedo,Spain,Europe,43.35,-5.867,335.0,wrdc
palma_demallorca,Spain,Europe,39.55,2.617,10.0,wrdc
palma_demallorca_arpt,Spain,Europe,39.567,2.75,10.0,wrdc
paris_orly,France,Europe,48.717,2.383,89.0,wrdc
paris_montsouris,France,Europe,48.817,2.333,75.0,wrdc
pau_uzein,France,Europe,43.383,-0.4,183.0,wrdc
perpignan,France,Europe,42.733,2.867,42.0,wrdc
poitiers_biard,France,Europe,46.583,0.3,123.0,wrdc
ponferrada,Spain,Europe,42.567,-6.6,550.0,wrdc
quimper,France,Europe,47.967,-4.167,90.0,wrdc
reims_prunay,France,Europe,49.2,4.15,95.0,wrdc
rennes_st_jacques,France,Europe,48.067,-1.733,36.0,wrdc
reus_arpt,Spain,Europe,41.15,-1.167,73.0,wrdc
rodez_aveyron,France,Europe,44.4,2.467,578.0,wrdc
roissy_en_france,France,Europe,49.0,2.533,108.0,wrdc
roquetas_tortosa,Spain,Europe,40.817,0.5,44.0,wrdc
saentis,Switzerland,Europe,47.25,9.35,2490.0,wrdc
salamanca,Spain,Europe,40.95,-5.917,803.0,wrdc
salzburg_freisaal,Austria,Europe,47.783,13.05,420.0,wrdc
san_javier_arpt,Spain,Europe,37.783,-0.8,2.0,wrdc
san_sebastian,Spain,Europe,43.317,-2.05,259.0,wrdc
santander,Spain,Europe,43.483,-3.8,52.0,wrdc
santiago_arpt,Spain,Europe,42.9,-8.417,370.0,wrdc
soria,Spain,Europe,41.6,-2.5,1090.0,wrdc
st_auban,France,Europe,44.05,5.983,461.0,wrdc
st_brieuc,France,Europe,48.533,-2.85,135.0,wrdc
st_dizier,France,Europe,48.617,4.9,139.0,wrdc
st_etienne_boutheon,France,Europe,45.517,4.283,400.0,wrdc
st_girons,France,Europe,43.0,1.1,414.0,wrdc
st_quentin,France,Europe,49.817,3.2,98.0,wrdc
stockholm,Sweden,Europe,59.35,18.067,30.0,wrdc
storlien__visjovalen,Sweden,Europe,63.3,12.117,646.0,wrdc
strasbourg_entzheim,France,Europe,48.533,7.633,150.0,wrdc
svenska_hogarna,Sweden,Europe,59.45,19.5,10.0,wrdc
tarbes_ossun,France,Europe,43.183,0.0,360.0,wrdc
tarfala,Sweden,Europe,67.917,18.6,1144.0,wrdc
tavaux,France,Europe,47.033,5.417,195.0,wrdc
teruel,Spain,Europe,40.35,-1.117,900.0,wrdc
thessalonikiuniv_,Greece,Europe,40.633,22.967,60.0,wrdc
toledo,Spain,Europe,39.883,-4.033,516.0,wrdc
toulouse_blagnac,France,Europe,43.617,1.367,151.0,wrdc
tours,France,Europe,47.433,0.717,108.0,wrdc
trappes,France,Europe,48.767,2.0,167.0,wrdc
troyes_barberey,France,Europe,48.317,4.017,112.0,wrdc
umea,Sweden,Europe,63.817,20.233,23.0,wrdc
valence_chabeui,France,Europe,44.9,4.967,163.0,wrdc
valencia_arpt,Spain,Europe,39.483,-0.467,57.0,wrdc
valentia_obs_,Ireland,Europe,51.933,-10.25,14.0,wrdc
valladolid,Spain,Europe,41.65,-4.767,734.0,wrdc
vannes,France,Europe,47.633,-2.75,11.0,wrdc
vaxjo_kronoberg,Sweden,Europe,56.933,14.733,182.0,wrdc
vichy_charmeil,France,Europe,46.167,3.383,249.0,wrdc
vigo_arpt,Spain,Europe,42.217,-8.633,255.0,wrdc
vilanova_arousa,Spain,Europe,42.6,-8.75,15.0,wrdc
visbyaerolog_stn,Sweden,Europe,57.667,18.35,49.0,wrdc
vitoria,Spain,Europe,42.867,-1.667,550.0,wrdc
waddington,United Kingdom,Europe,53.167,-0.517,73.0,wrdc
wattisham,United Kingdom,Europe,52.117,0.967,91.0,wrdc
wien_hohe_warte,Austria,Europe,48.25,16.35,203.0,wrdc
zaragoza_arpt,Spain,Europe,41.667,-1.067,298.0,wrdc
zuerich_kloten,Switzerland,Europe,47.483,8.533,436.0,wrdc
landriano,Italy,Europe,45.32,9.27,88.0,lombardy
gonzaga,Italy,Europe,44.96,10.77,16.0,lombardy
